Type,Action,Number,Title,Labels,State,Body,Branch,Assignee
label,create,,P0-Critical,,,Red priority label for critical issues,,,
label,create,,P1-High,,,Orange priority label for high priority,,,
label,create,,P2-Medium,,,Yellow priority label for medium priority,,,
label,create,,P3-Low,,,Green priority label for low priority,,,
label,create,,bug,,,Something isn't working,,,
label,create,,enhancement,,,New feature or request,,,
label,create,,documentation,,,Improvements to documentation,,,
label,create,,wip,,,Work in progress,,,
label,create,,blocked,,,Issue is blocked by something,,,
label,create,,ready-for-review,,,PR is ready for review,,,
issue,create,1,Add dark mode support,P1-High;enhancement,OPEN,"We need dark mode support for the UI. This is a highly requested feature from users.\n\nAcceptance criteria:\n- Toggle in settings\n- Persist user preference\n- Apply to all pages",,
issue,create,2,Fix login bug with special characters,P0-Critical;bug,OPEN,"Users with @ symbols in usernames cannot log in.\n\nSteps to reproduce:\n1. Try to login with user@example\n2. See error\n\nExpected: Should login successfully",,
issue,create,3,Update README with setup instructions,P2-Medium;documentation,OPEN,"README is outdated. Need to add:\n- Installation steps\n- Environment variables\n- Running tests",,
issue,create,4,Optimize database queries,P1-High;enhancement,OPEN,"Dashboard is slow. Profile shows N+1 queries on user list page.\n\nNeed to add eager loading and proper indexes.",,
issue,create,5,Add unit tests for auth module,P2-Medium;enhancement,OPEN,"Auth module has no tests. Need to add:\n- Login tests\n- Registration tests\n- Password reset tests",,
issue,create,6,Fix memory leak in background worker,P0-Critical;bug,OPEN,"Background worker memory usage grows over time. Likely not releasing connections.\n\nMemory usage: 100MB -> 2GB over 24 hours",,
issue,create,7,Add API documentation,P3-Low;documentation,OPEN,"Need to document all API endpoints with examples",,
issue,create,8,Implement file upload feature,P1-High;enhancement,OPEN,"Users need to upload files. Requirements:\n- Max 10MB\n- Support images and PDFs\n- Virus scanning",,
issue,create,9,Fix broken links in footer,P3-Low;bug,OPEN,"Privacy policy and terms links return 404",,
issue,create,10,Add search functionality,P2-Medium;enhancement,OPEN,"Need search bar in header to search issues and docs",,
pr,create,11,Add dark mode toggle,P1-High;enhancement;wip,OPEN,"Implements dark mode toggle in settings page.\n\nTODO:\n- Add CSS variables\n- Test on all pages\n- Add persistence",feature/dark-mode,
pr,create,12,Fix login bug for special chars,P0-Critical;bug;ready-for-review,OPEN,"Fixes #2 by properly escaping special characters in login form.\n\nTested with:\n- user@example ✓\n- user+test@example ✓\n- user.name@example ✓",fix/login-special-chars,
pr,create,13,Update README,P2-Medium;documentation;ready-for-review,OPEN,"Updates README with current setup instructions.\n\nAdds:\n- Docker setup\n- Environment variables\n- Testing guide",docs/update-readme,
pr,create,14,Optimize database queries,P1-High;enhancement;wip,OPEN,"Adds eager loading to user list queries.\n\nPerformance:\n- Before: 2.3s\n- After: 0.4s (82% improvement)\n\nStill TODO: Add indexes",perf/optimize-queries,
pr,create,15,Add auth unit tests,P2-Medium;enhancement;ready-for-review,OPEN,"Adds comprehensive unit tests for auth module.\n\nCoverage: 85%\n\nTests:\n- Login (5 tests)\n- Registration (4 tests)\n- Password reset (3 tests)",test/auth-module,
secret,create,,DATABASE_URL,,,PostgreSQL connection string,,,
secret,create,,API_KEY,,,Third-party API key,,,
secret,create,,JWT_SECRET,,,Secret for JWT token signing,,,
secret,create,,SMTP_PASSWORD,,,Email SMTP password,,,
variable,create,,NODE_ENV,,,production,,,
variable,create,,LOG_LEVEL,,,info,,,
variable,create,,MAX_UPLOAD_SIZE,,,10485760,,,
variable,create,,CACHE_TTL,,,3600,,,
release,create,v1.0.0,Initial Release,,,First stable release with core features,,,
release,create,v1.1.0,Dark Mode Update,,,Adds dark mode and bug fixes,,,
release,create,v1.2.0,Performance Improvements,,,Database optimization and caching,,,
milestone,create,v1.0,MVP Release,OPEN,,First production release,,,
milestone,create,v2.0,Major Refactor,OPEN,,Complete UI overhaul,,,
milestone,create,v1.5,Performance Sprint,OPEN,,Focus on speed and optimization,,,
